UID,AvgSleepHours
u19,7.836363636363636
u08,7.0
u07,7.041666666666667
u12,7.846153846153846
u17,4.9
u27,5.125
u01,7.222222222222222
u03,8.071428571428571
u57,7.491803278688525
u00,7.109090909090909
u51,7.0588235294117645
u43,7.48
u24,7.695652173913044
u30,7.117647058823529
u45,7.7272727272727275
u35,6.96
u33,6.853658536585366
u59,6.095890410958904
u53,6.612903225806452
u42,6.714285714285714
u23,7.739130434782608
u44,9.068965517241379
u10,7.787234042553192
u52,7.304347826086956
u22,8.3
u32,8.148936170212766
u58,7.258620689655173
u14,6.966666666666667
u36,7.5625
u49,6.804878048780488
u04,6.470588235294118
u02,7.923076923076923
u16,7.907692307692308
u46,6.260869565217392
